order_id,product_category,region,quantity,price,order_date,product_name,amount
1001,电子产品,华北,2,459.00,2024-01-01,商品A,918.00
1002,服装,华东,3,129.90,2024-01-01,商品B,389.70
1003,食品,华南,5,45.50,2024-01-01,商品C,227.50
1004,电子产品,华东,1,899.00,2024-01-02,商品D,899.00
1005,家居,华北,2,299.00,2024-01-02,商品E,598.00
1006,服装,华南,4,89.90,2024-01-02,商品A,359.60
1007,图书,西南,1,59.80,2024-01-03,商品B,59.80
1008,电子产品,西北,1,359.00,2024-01-03,商品C,359.00
1009,食品,华北,3,35.90,2024-01-03,商品D,107.70
1010,服装,华东,2,159.90,2024-01-04,商品E,319.80
1011,家居,华南,1,459.00,2024-01-04,商品A,459.00
1012,电子产品,华北,3,299.00,2024-01-04,商品B,897.00
1013,食品,西南,5,29.90,2024-01-05,商品C,149.50
1014,图书,西北,2,49.00,2024-01-05,商品D,98.00
1015,服装,华东,1,199.00,2024-01-05,商品E,199.00
1016,电子产品,华南,1,1299.00,2024-01-06,商品A,1299.00
1017,家居,华北,2,199.00,2024-01-06,商品B,398.00
1018,食品,华东,4,39.90,2024-01-06,商品C,159.60
1019,服装,西南,3,99.90,2024-01-07,商品D,299.70
1020,图书,华南,1,69.80,2024-01-07,商品E,69.80
